id,section,chapter,recipe_group,recipe,description,difficulty,packages,data
29,Appetizers,Importing Data,Excel Files,Read number of rows on excel import,Read a specific number of rows when reading an excel file,1,readxl,sample.xlsx
30,Appetizers,Importing Data,Excel Files,Read specific sheet on excel import,Read a specific sheet of an excel file,1,readxl,sample.xlsx
31,Appetizers,Importing Data,Excel Files,Read range of cells on excel import,Read a specific range of cells of an excel file,1,readxl,sample.xlsx
,,,,,,,,
33,Breakfast,Data Exploration,Selecting Data Columns,Select data by column name,Method to subset data using a specific column name,1,readr dplyr,sample.csv
34,Breakfast,Data Exploration,Selecting Data Columns,Select data by multiple column names,Method to subset data using multiple column names,1,readr dplyr,sample.csv
35,Breakfast,Data Exploration,Selecting Data Columns,Select data by column index,Method to subset data using specific column index numbers,1,readr dplyr,sample.csv
36,Breakfast,Data Exploration,Selecting Data Columns,Select data by multiple column index,Method to subset data using a specific column index number,1,readr dplyr,sample.csv
37,Breakfast,Data Exploration,Selecting Data Columns,Select data by column index range,Method to subset data in a range of column index numbers,1,readr dplyr,sample.csv
38,Breakfast,Data Exploration,Selecting Data Columns,Select data by column index and column index range,Method to subset data by specific column index numbers and a range of column index numbers,1,readr dplyr,sample.csv
39,Breakfast,Data Exploration,Selecting Data Columns,Select all by last column,Method to retrieve all columns except the last column,1,readr dplyr,sample.csv
40,Breakfast,Data Exploration,Filtering Data,Filter single column by character value,Method to filter a single column of character data when equal to a specific value,1,readr dplyr,sample.csv
41,Breakfast,Data Exploration,Filtering Data,Filter single column by numeric value,Method to filter a single column of numeric data when equal to a specific value,1,readr dplyr,sample.csv
42,Breakfast,Data Exploration,Filtering Data,Filter single column by multiple character values,Method to filter a single column of character data with multiple character values,1,readr dplyr,sample.csv
43,Breakfast,Data Exploration,Filtering Data,Filter single column by multiple numeric values,Method to filter a single column of numeric data with multiple numeric values,1,readr dplyr,sample.csv
44,Breakfast,Data Exploration,Filtering Data,Filter single column by range of numeric values,Method to filter numeric data within a range of values,1,readr dplyr,sample.csv
45,Breakfast,Data Exploration,Filtering Data,Filter single column by numeric data larger than value,Method to filter number data that is larger than a value,1,readr dplyr,sample.csv
46,Breakfast,Data Exploration,Filtering Data,Filter single column by numeric data smaller than value,Method to filter numeric data that is smaller than a value,1,readr dplyr,sample.csv
47,Breakfast,Data Exploration,Filtering Data,Filter multiple columns,Method to filter data using multiple columns when filtering of all columns execute to be true,1,readr dplyr,sample.csv
48,Breakfast,Data Exploration,Filtering Data,Filter multiple columns,Method to filter data using multiple columns when filtering of any column execute to be true,1,readr dplyr,sample.csv
49,Breakfast,Data Exploration,Filtering Data,Filter when multiple character values not in a column,Method to filter data when specific text values are not present in a specified column,1,readr dplyr,sample.csv
50,Breakfast,Data Exploration,Combining Commands,Select specific columns and filter column by character value,Method to combine a select and filter expression in a single command,1,readr dplyr,sample.csv
51,Breakfast,Data Quality,Data Cleaning,Clean common header naming issues,"Replaces common data header naming conversion issues; such as spaces, special characters, and duplicate names ",1,readr janitor,sample.csv
52,Breakfast,Data Quality,Data Cleaning,Remove empty columns,Removes columns that have no values and are completely empty,1,readr janitor,sample.csv
53,Breakfast,Data Quality,Data Cleaning,Remove empty rows,Removes rows that have no values and are completely empty,1,readr janitor,sample.csv
54,Breakfast,Data Quality,Data Cleaning,Remove empty rows and columns,Removes rows and columns that have no values and are completely empty,1,readr janitor,sample.csv
55,Breakfast,Data Quality,Data Profiling,Find duplicates in single column,Method to find duplicate values in a single column of a dataframe column,1,readr janitor,sample.csv
56,Breakfast,Data Quality,Data Profiling,Find duplicates in multiple columns,Method to find duplicate values across multiple columns of a dataframe column,1,readr janitor,sample.csv
57,Breakfast,Data Quality,Data Cleaning,Convert null to specific character value in a single column,Method to change all null to a specific character value in a single character column of a dataframe,1,readr tidyr,sample.csv
58,Breakfast,Data Quality,Data Cleaning,Convert null to specific numeric value in a single column,Method to change all null to a specific numeric value in a single numeric column of a dataframe,1,readr tidyr,sample.csv
59,Breakfast,Data Quality,Data Cleaning,Remove leading whitespace from a character values in a single column,Method to remove whitespace at the beginning of a character value in a single character column of a dataframe,1,readr dplyr stringr,sample.csv
60,Breakfast,Data Quality,Data Cleaning,Remove trailing whitespace from a character values in a single column,Method to remove whitespace at the end of a character value in a single character column of a dataframe,1,readr dplyr stringr,sample.csv
61,Breakfast,Data Quality,Data Cleaning,Remove leading and trailing whitespace from a character values in a single column,Method to remove whitespace at the beginning and end of a character value in a single character column of a dataframe,1,readr dplyr stringr,sample.csv
62,Breakfast,Data Quality,Data Cleaning,Change all characters to lower case in a single column,Method to change all character values to lower case in a single character column of a dataframe,1,readr dplyr stringr,sample.csv
63,Breakfast,Data Quality,Data Cleaning,Change all characters to upper case in a single column,Method to change all character values to upper case in a single character column of a dataframe,1,readr dplyr stringr,sample.csv
64,Breakfast,Data Quality,Data Cleaning,Change all characters to title case in a single column,Method to change all character values to title case in a single character column of a dataframe,1,readr dplyr stringr,sample.csv
65,Breakfast,Data Quality,Data Cleaning,Change all characters to sentence case in a single column,Method to change all character values to sentence case in a single character column of a dataframe,1,readr dplyr stringr,sample.csv
66,Breakfast,Data Quality,Data Cleaning,Remove punctuation from a single character column,Method to remove punctuation including special characters from a single character column of a dataframe,1,readr dplyr stringr,sample.csv
67,Breakfast,Data Quality,Data Cleaning,Change all spaces to underscores in a single character column,Method to change all spaces to an underscore in a single character column of a dataframe,1,readr dplyr stringr,sample.csv
68,Breakfast,Data Quality,Data Cleaning,Convert null with specific value in all character columns,Method to change all null to a specific character value in a all character columns of a dataframe,2,readr dplyr tidyr,sample.csv
69,Breakfast,Data Quality,Data Cleaning,Convert null with specific value in all numeric columns,Method to change all null to a specific numeric value in a all numeric columns of a dataframe,2,readr dplyr tidyr,sample.csv
70,Breakfast,Data Quality,Data Cleaning,Remove whitespace in all character columns,Method to remove whitespace at the beginning and end of a character value in all character columns of a dataframe,2,readr dplyr stringr,sample.csv
71,Breakfast,Data Quality,Data Cleaning,Change all characters to lower case in all character columns,Method to change all character values to lower case in all character columns of a dataframe,2,readr dplyr stringr,sample.csv
72,Breakfast,Data Quality,Data Cleaning,Change all characters to upper case in all character columns,Method to change all character values to upper case in all character columns of a dataframe,2,readr dplyr stringr,sample.csv
73,Breakfast,Data Quality,Data Cleaning,Change all characters to title case in all character columns,Method to change all character values to title case in all character columns of a dataframe,2,readr dplyr stringr,sample.csv
74,Breakfast,Data Quality,Data Cleaning,Change all characters to sentence case in all character columns,Method to change all character values to sentence case in all character columns of a dataframe,2,readr dplyr stringr,sample.csv
75,Breakfast,Data Quality,Data Cleaning,Remove punctuation from all character columns,Method to remove punctuation including special characters from all character columns of a dataframe,2,readr dplyr stringr,sample.csv
76,Breakfast,Data Quality,Data Cleaning,Change all spaces to underscores in all character columns,Method to change all spaces to an underscore in a single character column of a dataframe,2,readr dplyr stringr,sample.csv
77,Breakfast,Data Quality,Data Cleaning,Clean structure and values of a dataframe,Method to cleann the structure and values in all character and numeric columns of a dataframe,2,readr dplyr janitor stringr tidyr,sample.csv
78,Appetizers,Accessing Packages,Installing Packages,Load multiple packages,Method to load and gain access to the functionality of multiple packages in R,0,,
,Breakfast,Data Transformation,Character Data,,,,,
,Breakfast,Data Transformation,Date Data,,,,,
,Breakfast,Data Transformation,Between Data Types,,,,,
,Breakfast,Data Transformation,Reshaping Data,,,,,
,Breakfast,Data Fusion,Appending Dataframes,Add a dataframe to bottom of a dataframe,,,,
,Breakfast,Data Fusion,Appending Dataframes,Add a dataframe to the right of a dataframe,,,,
,Breakfast,Data Fusion,Joining Dataframes,Join with same joining column names,,,,
,Breakfast,Data Fusion,Joining Dataframes,Join with different joining names,,,,
,Breakfast,Data Fusion,Joining Dataframes,Join with subset of columns from one dataframe,,,,
,Breakfast,Data Fusion,Joining Dataframes,Join with subset of columns from two dataframes,,,,
,Breakfast,Data Fusion,Joining Dataframes,Inner join,,,,
,Breakfast,Data Fusion,Joining Dataframes,Left join,,,,
,Breakfast,Data Fusion,Joining Dataframes,Right join,,,,
,Breakfast,Data Fusion,Joining Dataframes,Full join,,,,
,Breakfast,Feature Engineering,,,,,,
